,,,,,
Date,Facebook Close,Tesla Close,Tilray Close,Amazon Close,Shopify Close
29/03/2018,159.79,53.23,,1447.34,170.61
02/04/2018,155.39,50.5,,1371.99,172.25
03/04/2018,156.11,53.51,,1392.05,164.54
04/04/2018,155.1,57.39,,1410.57,162.53
05/04/2018,159.34,61.14,,1451.75,153.21
06/04/2018,157.2,59.86,,1405.23,155.01
09/04/2018,157.93,57.93,,1406.08,144.7
10/04/2018,165.04,60.94,,1436.22,146.55
11/04/2018,166.32,60.19,,1427.05,145.89
12/04/2018,163.87,58.82,,1448.5,149.42
13/04/2018,164.52,60.07,,1430.79,150.5
16/04/2018,164.83,58.24,,1441.5,152.68
17/04/2018,168.66,57.54,,1503.83,156.81
18/04/2018,166.36,58.67,,1527.84,158.45
19/04/2018,168.1,60.02,,1556.91,158.98
20/04/2018,166.28,58.05,,1527.49,160.98
23/04/2018,165.84,56.67,,1517.86,167.5
24/04/2018,159.69,56.69,,1460.09,166.18
25/04/2018,159.69,56.14,,1460.17,165.35
26/04/2018,174.16,57.1,,1517.96,169
27/04/2018,173.59,58.82,,1572.62,170.48
30/04/2018,172,58.78,,1566.13,171.75
01/05/2018,173.86,59.98,,1582.26,171.75
02/05/2018,176.07,60.23,,1569.68,173.26
03/05/2018,174.02,56.89,,1572.08,168.34
04/05/2018,176.61,58.82,,1580.95,173.78
07/05/2018,177.97,60.55,,1600.14,170.29
08/05/2018,178.92,60.39,,1592.39,160.15
09/05/2018,182.66,61.37,,1608,148.08
10/05/2018,185.53,61,,1609.08,138.21
11/05/2018,186.99,60.21,,1602.91,136.36
14/05/2018,186.64,58.39,,1601.54,143.92
15/05/2018,184.32,56.84,,1576.12,141.87
16/05/2018,183.2,57.3,,1587.28,142.04
17/05/2018,183.76,56.91,,1581.76,141.68
18/05/2018,182.68,56.91,,1574.37,142.7
21/05/2018,184.49,56.9,,1585.46,146.44
22/05/2018,183.8,55,,1581.4,149.22
23/05/2018,186.9,55.81,,1601.86,142.87
24/05/2018,185.93,55.57,,1603.07,144.38
25/05/2018,184.92,55.77,,1610.15,138.92
29/05/2018,185.74,56.75,,1612.87,139.16
